128,"Beclometasona 50 Mcg Aerosol x 200 dosis",12.5,,,15.5,,,LABOT,"BECLOMETASONA DIPROPIONATO ANHIDRO",AEROSOL,,1,,,,,,,1,7751128000351,NIU,,,,,,
129,"BENALGIN AMP",15.5,,,19.5,,,LUSA,"TIANINA, PIRIDOXINA, CIANOCOBALAMINA",,,8,,,,,,,"1900-01-01 00:00:00",7750577000011,NIU,,,,blister,"2023-09-20 00:00:00",1
